"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6","stop_PC5","feasible"
"2518","2533V",52.0811391704393,4.29422163398023,52.0502735545728,4.28958147252202,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546B","2525",52.0591161365999,4.27399671521609,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546B",52.0623766403396,4.3033052949289,52.0591161365999,4.27399671521609,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2533L","2624",52.0524663644024,4.29612770686802,51.9951639454664,4.35577193846277,1,0,36.3,21.2,5.3,7,2.8,1,9.7,1.5,2,6.3,"2532CP","2532C",1
"2624","2533J",51.9951639454664,4.35577193846277,52.0509015842924,4.29388139874333,0,1,50.2,18,14.1,7,11.1,2,14,0.9,4.7,8.4,"2533SR","2533S",1
"2288","2543A",52.0327667740991,4.33716640779124,52.0434639733693,4.26411809103701,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546R","2522",52.0570615813484,4.26887575509814,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546R",52.0603806984478,4.32727437307002,52.0570615813484,4.26887575509814,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2722","2542K",52.0534861981297,4.5131635276735,52.0364390701642,4.26312437750577,0,1,77.2,27.4,34.2,3,12.6,2,22.9,1.9,19.4,1.7,"2543GB","2543G",1
"2542K","2722",52.0364390701642,4.26312437750577,52.0534861981297,4.5131635276735,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2542N",51.9951639454664,4.35577193846277,52.0331301458607,4.25975908904229,0,1,58,17.4,22.5,7,11.1,2,17.1,0.9,7.8,8.4,"2543GB","2543G",1
"2546S","2525",52.0578707378872,4.27105525072026,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2542E",51.9951639454664,4.35577193846277,52.0358716120214,4.26738012702625,0,1,66.9,26.3,22.5,7,11.1,2,17.7,1.6,7.8,8.4,"2543GB","2543G",1
"2542E","2566",52.0358716120214,4.26738012702625,52.0807850576839,4.25230755076599,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2542J",52.0653736707086,4.2841344796241,52.0385335010829,4.25810585554739,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546B","2522",52.0591161365999,4.27399671521609,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546B",52.0603806984478,4.32727437307002,52.0591161365999,4.27399671521609,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542E","2563",52.0358716120214,4.26738012702625,52.0726961183115,4.27055559115989,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544E","2555",52.0464828004557,4.25028829153627,52.0609982076522,4.2254911744316,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2564","2533H",52.0681123354441,4.25800296323022,52.0487012158308,4.29070086181086,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544G","2566",52.0425265562463,4.25954339365026,52.0807850576839,4.25230755076599,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544H","2566",52.0457978448674,4.26058713725417,52.0807850576839,4.25230755076599,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546A","3171",52.0577480548941,4.27572687830032,51.8549780764941,4.39920958999336,1,0,92.7,31,30.6,21,10.2,2,39.7,1.9,17.2,20.7,"2532CP","2532C",1
"3171","2546A",51.8549780764941,4.39920958999336,52.0577480548941,4.27572687830032,0,1,90.8,39.1,20.8,16,14.8,3,31.9,2.1,13.2,16.5,"2532CP","2532C",1
"2624","2545H",51.9951639454664,4.35577193846277,52.0436878110164,4.28273156391466,0,1,48.1,27.2,7.4,11,2.4,1,12.7,1.9,2.7,8.1,"2532CP","2532C",1
"2624","2543A",51.9951639454664,4.35577193846277,52.0434639733693,4.26411809103701,0,1,62.3,19.5,24,7,11.9,3,17,1,7.5,8.4,"2544GA","2544G",1
"3072","2533V",51.902110213157,4.48910082781826,52.0502735545728,4.28958147252202,0,1,68.6,28.3,15.9,18,6.4,2,31.5,1.5,7.2,22.8,"2533SR","2533S",1
"2546X","2548",52.0607363175907,4.27761287481445,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542E","2518",52.0358716120214,4.26738012702625,52.0811391704393,4.29422163398023,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2542E",52.0603806984478,4.32727437307002,52.0358716120214,4.26738012702625,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"3072","2544G",51.902110213157,4.48910082781826,52.0425265562463,4.25954339365026,0,1,82.3,22.4,22.3,22,15.6,3,31.1,1.2,9.3,20.7,"2532CP","2532C",1
"2544G","3072",52.0425265562463,4.25954339365026,51.902110213157,4.48910082781826,1,0,80.2,23.3,24.4,21,11.5,3,31,1.3,9.1,20.7,"2532CP","2532C",1
"2245","2533C",52.1212697387586,4.39936927067405,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2542J",51.9951639454664,4.35577193846277,52.0385335010829,4.25810585554739,0,1,62.7,22.1,22.5,7,11.1,2,17.4,1.2,7.8,8.4,"2543GB","2543G",1
"2546S","2522",52.0578707378872,4.27105525072026,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546S",52.0603806984478,4.32727437307002,52.0578707378872,4.27105525072026,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546R","2548",52.0570615813484,4.26887575509814,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2548","2546R",52.0294425012506,4.29039874619047,52.0570615813484,4.26887575509814,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2513","2544H",52.078800201194,4.30238606088434,52.0457978448674,4.26058713725417,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2564","2533A",52.0681123354441,4.25800296323022,52.0536330532777,4.27865212084885,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"9711","2544G",53.2162755049971,6.56936779297269,52.0425265562463,4.25954339365026,0,1,221.9,22.6,25.3,158,15.9,2,267.8,1.5,7.4,258.9,"2543BG","2543B",1
"2533H","2596",52.0487012158308,4.29070086181086,52.0927435368403,4.31950877266799,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2245","2544E",52.1212697387586,4.39936927067405,52.0464828004557,4.25028829153627,0,1,95.4,44.9,31.7,8,10.8,2,23.2,3.3,11.8,8.1,"2544CX","2544C",1
"2542T","2624",52.0387486365841,4.27284350201484,51.9951639454664,4.35577193846277,1,0,46,15.3,15.5,7,8.2,2,12.8,1,5.6,6.3,"2532CP","2532C",1
"2624","2542T",51.9951639454664,4.35577193846277,52.0387486365841,4.27284350201484,0,1,49.5,19,15.9,7,7.6,2,12.3,1.1,4.9,6.3,"2532CP","2532C",1
"2546C","2522",52.0566592189878,4.27346932211107,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546C",52.0603806984478,4.32727437307002,52.0566592189878,4.27346932211107,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546T","2522",52.0592568478597,4.27600442135472,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546T",52.0603806984478,4.32727437307002,52.0592568478597,4.27600442135472,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"3072","2533H",51.902110213157,4.48910082781826,52.0487012158308,4.29070086181086,0,1,70.4,29.2,12.6,22,6.7,2,28,1.7,5.6,20.7,"2532CP","2532C",1
"2554","2533G",52.0649874429837,4.21969140039765,52.0481019628413,4.28904693155921,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544C","2566",52.0467546104116,4.25338619540227,52.0807850576839,4.25230755076599,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2593","2533L",52.085306948222,4.3427389060951,52.0524663644024,4.29612770686802,0,1,39.6,24.9,9.1,3,2.5,1,6.2,1.8,2.7,1.7,"2531AV","2531A",1
"2546R","3171",52.0570615813484,4.26887575509814,51.8549780764941,4.39920958999336,1,0,97.4,31.6,34.6,21,10.2,2,41.3,1.9,18.8,20.7,"2532CP","2532C",1
"3171","2533S",51.8549780764941,4.39920958999336,52.0553882189754,4.28645029912797,0,1,88.8,23.4,32.7,18,14.9,3,43.2,1.2,19.4,22.8,"2533SR","2533S",1
"3171","2546R",51.8549780764941,4.39920958999336,52.0570615813484,4.26887575509814,0,1,96.8,40,25.9,16,14.8,3,33.4,2.2,14.7,16.5,"2532CP","2532C",1
"2533V","2275",52.0502735545728,4.28958147252202,52.0628271752404,4.35271576940429,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"3521","2544J",52.0833123706544,5.10940578791336,52.0450156297235,4.25830282422894,0,1,101.4,24.6,24,40,12.8,2,69.3,1.7,7.4,60.3,"2543BG","2543B",1
"2544G","1119",52.0425265562463,4.25954339365026,52.2821571917182,4.76035698526118,1,0,89.9,19,32.6,29,9.3,2,56.8,1.2,13,42.5,"2543SW","2543S",1
"2722","2545N",52.0534861981297,4.5131635276735,52.0478918255789,4.27889515568648,0,1,68.9,24.5,28.9,3,12.6,2,20.8,1.6,17.5,1.7,"2545NW","2545N",1
"2533C","2593",52.0487353984816,4.29328303683979,52.085306948222,4.3427389060951,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2541X","2283",52.0541032153245,4.27432718219758,52.0464276462276,4.32210601534733,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2283","2541X",52.0464276462276,4.32210601534733,52.0541032153245,4.27432718219758,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546X","2522",52.0607363175907,4.27761287481445,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546X",52.0603806984478,4.32727437307002,52.0607363175907,4.27761287481445,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"3072","2544H",51.902110213157,4.48910082781826,52.0457978448674,4.26058713725417,0,1,84.5,25.6,21.2,22,15.6,3,31,1.5,8.9,20.7,"2532CP","2532C",1
"2544H","3072",52.0457978448674,4.26058713725417,51.902110213157,4.48910082781826,1,0,75.6,26.7,22.7,18,8.2,3,29.2,1.5,8.8,18.9,"2545JT","2545J",1
"2565","2544M",52.0754314285111,4.2585719682278,52.0396112782528,4.25129396965672,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542K","2584",52.0364390701642,4.26312437750577,52.1025819138378,4.2792955317052,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542E","2624",52.0358716120214,4.26738012702625,51.9951639454664,4.35577193846277,1,0,56.8,31.2,10.2,10,5.5,1,13.9,2.2,3.6,8.1,"2532CP","2532C",1
"2245","2542K",52.1212697387586,4.39936927067405,52.0364390701642,4.26312437750577,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542E","2245",52.0358716120214,4.26738012702625,52.1212697387586,4.39936927067405,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2909","2533B",51.9141299066694,4.54510425380612,52.0486872890598,4.28410221908171,0,1,76.7,27.7,18,23,8,3,29.8,1.6,7.7,20.5,"2533XV","2533X",1
"2544N","2722",52.0342293799336,4.24498616242454,52.0534861981297,4.5131635276735,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544J","2492",52.0450156297235,4.25830282422894,52.0661871645066,4.40916858931185,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2543B","2518",52.0408197781465,4.2614617830182,52.0811391704393,4.29422163398023,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546T","3171",52.0592568478597,4.27600442135472,51.8549780764941,4.39920958999336,1,0,92.9,31.1,30.6,21,10.2,2,39.7,1.9,17.2,20.7,"2532CP","2532C",1
"3171","2546T",51.8549780764941,4.39920958999336,52.0592568478597,4.27600442135472,0,1,90.6,38.9,20.8,16,14.8,3,31.8,2.1,13.2,16.5,"2532CP","2532C",1
"3072","2544E",51.902110213157,4.48910082781826,52.0464828004557,4.25028829153627,0,1,87.9,26.4,24.1,22,15.4,3,32.1,1.5,10,20.7,"2532CP","2532C",1
"2722","2544N",52.0534861981297,4.5131635276735,52.0342293799336,4.24498616242454,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2722","2542J",52.0534861981297,4.5131635276735,52.0385335010829,4.25810585554739,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2533V",51.9951639454664,4.35577193846277,52.0502735545728,4.28958147252202,0,1,51.1,18.9,14.1,7,11.1,2,14.1,1,4.7,8.4,"2533SR","2533S",1
"2533J","2552",52.0509015842924,4.29388139874333,52.0545866758473,4.2477894574147,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2722","2533V",52.0534861981297,4.5131635276735,52.0502735545728,4.28958147252202,0,1,64.5,25.8,26,3,9.8,2,19.7,1.7,16.3,1.7,"2533SR","2533S",1
"2546T","2548",52.0592568478597,4.27600442135472,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
